15h28m18s;START AWB ALGO; 
15h28m18s;END AWB ALGO; 
15h51m51s;START AWB ALGO; 
15h51m51s;END AWB ALGO; 
15h59m16s;START AWB ALGO; 
15h59m16s;END AWB ALGO; 
16h07m00s;START AWB ALGO; 
16h07m01s;END AWB ALGO; 
16h07m16s;START AWB ALGO; 
16h07m16s;END AWB ALGO; 
16h09m50s;START AWB ALGO; 
16h09m50s;END AWB ALGO; 
16h14m46s;START AWB ALGO; 
16h14m46s;END AWB ALGO; 
11h45m27s;START AWB ALGO; 
11h45m27s;END AWB ALGO; 
13h07m38s;START AWB ALGO; 
13h07m38s;END AWB ALGO; 
13h07m52s;START AWB ALGO; 
13h07m52s;END AWB ALGO; 
13h20m49s;START AWB ALGO; 
13h20m49s;END AWB ALGO; 
13h26m23s;START AWB ALGO; 
13h26m23s;END AWB ALGO; 
13h28m17s;START AWB ALGO; 
13h28m17s;END AWB ALGO; 
13h33m59s;START AWB ALGO; 
13h33m59s;END AWB ALGO; 
13h36m32s;START AWB ALGO; 
13h36m32s;END AWB ALGO; 
15h27m57s;START AWB ALGO; 
15h27m57s;END AWB ALGO; 
15h28m37s;START AWB ALGO; 
15h28m37s;END AWB ALGO; 
15h31m43s;START AWB ALGO; 
15h31m43s;END AWB ALGO; 
